Umur,gender,Konsumsi kopi,Jenis Kopi,Alasan menikmati kopi,pengalaman dalam taun, 
39,laki laki,1,kintamani,suka aja,7, 
49,perempuan,1,toraja,menenangkan,3, 
39,laki laki,1,robusta,menenangkan,3, 
23,perempuan,1,papua,historis,5, 
18,laki laki,3,papua,suka aja,3, 
34,perempuan,3,jawa,historis,10, 
31,laki laki,2,jawa,menenangkan,6, 
24,perempuan,2,jawa,suka aja,9, 
35,perempuan,3,lampung,karna rasa,1, 
19,perempuan,2,lampung,karna rasa,7, 
38,laki laki,1,aceh,historis,8, 
44,laki laki,3,robusta,suka aja,10, 
28,laki laki,3,lampung,historis,4, 
44,laki laki,1,toraja,menenangkan,5, 
40,laki laki,3,aceh ,suka aja,10, 
18,perempuan,3,arabica,historis,8, 
21,laki laki,3,kintamani,historis,8, 
27,laki laki,3,robusta,historis,2, 
39,laki laki,1,Arabica,suka aja,2, 
37,perempuan,3,arabica,menenangkan,7, 
22,laki laki,3,kintamani,menenangkan,3, 
39,perempuan,2,toraja,historis,6, 
21,laki laki,2,robusta,suka aja,10, 
27,perempuan,1,papua,historis,3, 
41,laki laki,1,papua,menenangkan,6, 
36,perempuan,3,jawa,suka aja,5, 
40,perempuan,2,jawa,karna rasa,10, 
42,perempuan,2,jawa,karna rasa,3, 
40,laki laki,3,lampung,historis,9, 
50,laki laki,1,lampung,suka aja,6, 
33,laki laki,2,aceh,historis,2, 
38,laki laki,1,robusta,menenangkan,7, 
23,laki laki,1,lampung,suka aja,2, 
47,perempuan,1,toraja,historis,3, 
39,laki laki,3,aceh ,historis,8, 
29,laki laki,3,arabica,historis,1, 
21,laki laki,3,kintamani,suka aja,7, 
50,perempuan,2,robusta,menenangkan,4, 
39,laki laki,3,Arabica,menenangkan,4, 
23,perempuan,3,arabica,historis,5, 
20,laki laki,3,kintamani,suka aja,2, 
37,perempuan,2,toraja,historis,8, 
23,laki laki,2,robusta,menenangkan,9, 
24,perempuan,2,papua,suka aja,5, 
34,perempuan,1,papua,karna rasa,2, 
17,perempuan,2,jawa,karna rasa,10, 
50,laki laki,2,jawa,historis,8, 
46,laki laki,3,jawa,suka aja,5, 
31,laki laki,3,lampung,historis,2, 
27,laki laki,3,lampung,menenangkan,7, 
29,laki laki,2,aceh,suka aja,5, 
41,perempuan,2,robusta,historis,6, 
40,laki laki,1,lampung,historis,2, 
26,laki laki,2,toraja,historis,1, 
33,laki laki,1,aceh ,suka aja,1, 
38,perempuan,3,arabica,menenangkan,8, 
27,laki laki,2,kintamani,menenangkan,3, 
40,perempuan,1,robusta,historis,7, 
30,laki laki,2,Arabica,suka aja,2, 
24,perempuan,3,arabica,historis,4, 
23,laki laki,3,kintamani,menenangkan,1, 
25,perempuan,1,toraja,suka aja,8, 
17,perempuan,1,robusta,karna rasa,6, 
21,perempuan,3,papua,karna rasa,5, 
27,laki laki,2,papua,historis,8, 
19,laki laki,1,jawa,suka aja,5, 
28,laki laki,2,jawa,historis,3, 
47,laki laki,2,jawa,menenangkan,6, 
39,laki laki,3,lampung,suka aja,8, 
27,perempuan,3,lampung,historis,6, 
22,laki laki,1,aceh,historis,6, 
30,laki laki,3,robusta,historis,6, 
40,laki laki,3,lampung,suka aja,5, 
32,perempuan,2,toraja,menenangkan,8, 
36,laki laki,3,aceh ,menenangkan,10, 
37,perempuan,3,arabica,historis,8, 
46,laki laki,1,kintamani,suka aja,8, 
47,perempuan,3,robusta,historis,10, 
50,laki laki,2,Arabica,menenangkan,8, 
25,perempuan,2,arabica,suka aja,10, 
43,perempuan,1,kintamani,karna rasa,7, 
17,perempuan,1,toraja,karna rasa,9, 
41,laki laki,1,robusta,historis,5, 
46,laki laki,3,papua,suka aja,10, 
23,laki laki,3,papua,historis,3, 
44,laki laki,1,jawa,menenangkan,4, 
39,laki laki,3,jawa,suka aja,7, 
47,perempuan,1,jawa,historis,10, 
35,laki laki,1,lampung,historis,2, 
49,laki laki,1,lampung,historis,1, 
36,laki laki,3,aceh,suka aja,10, 
33,perempuan,1,robusta,menenangkan,2, 
31,laki laki,1,lampung,menenangkan,1, 
23,perempuan,2,toraja,historis,8, 
46,laki laki,1,aceh ,suka aja,9, 
45,perempuan,1,arabica,historis,5, 
45,laki laki,3,kintamani,menenangkan,9, 
46,perempuan,2,robusta,suka aja,9, 
38,perempuan,2,Arabica,karna rasa,9, 
37,perempuan,3,arabica,karna rasa,6, 
28,laki laki,3,kintamani,historis,10, 
50,laki laki,2,toraja,suka aja,2, 
49,laki laki,1,robusta,historis,5, 
33,laki laki,2,papua,menenangkan,3, 
28,laki laki,2,papua,suka aja,3, 
44,perempuan,1,jawa,historis,6, 
46,laki laki,2,jawa,historis,2, 
33,laki laki,2,jawa,historis,10, 
27,laki laki,2,lampung,suka aja,3, 
21,perempuan,3,lampung,menenangkan,10, 
19,laki laki,2,aceh,menenangkan,4, 
28,perempuan,3,robusta,historis,1, 
49,laki laki,3,lampung,suka aja,6, 
36,perempuan,2,toraja,historis,4, 
27,laki laki,1,aceh ,menenangkan,5, 
17,perempuan,3,arabica,suka aja,8, 
17,perempuan,1,kintamani,karna rasa,4, 
38,perempuan,2,robusta,karna rasa,10, 
26,laki laki,1,Arabica,historis,4, 
49,laki laki,3,arabica,suka aja,5, 
47,laki laki,2,kintamani,historis,4, 
41,laki laki,1,toraja,menenangkan,5, 
22,laki laki,3,robusta,suka aja,9, 
34,perempuan,3,papua,historis,1, 
37,laki laki,2,papua,historis,1, 
24,laki laki,2,jawa,historis,6, 
46,laki laki,1,jawa,suka aja,6, 
29,perempuan,3,jawa,menenangkan,10, 
24,laki laki,1,lampung,menenangkan,9, 
50,perempuan,2,lampung,historis,4, 
20,laki laki,2,aceh,suka aja,1, 
20,perempuan,1,robusta,historis,4, 
20,laki laki,1,lampung,menenangkan,7, 
48,perempuan,3,toraja,suka aja,2, 
37,perempuan,1,aceh ,karna rasa,10, 
33,perempuan,3,arabica,karna rasa,2, 
36,laki laki,3,kintamani,historis,3, 
50,laki laki,1,robusta,suka aja,3, 
43,laki laki,3,Arabica,historis,9, 
44,laki laki,3,arabica,menenangkan,2, 
20,laki laki,2,kintamani,suka aja,2, 
27,perempuan,1,toraja,historis,1, 
21,laki laki,3,robusta,historis,4, 
22,laki laki,3,papua,historis,5, 
18,laki laki,3,papua,suka aja,3, 
22,perempuan,3,jawa,menenangkan,9, 
31,laki laki,2,jawa,menenangkan,5, 
18,perempuan,2,jawa,historis,5, 
20,laki laki,2,lampung,suka aja,7, 
35,perempuan,3,lampung,historis,6, 
20,laki laki,3,aceh,menenangkan,3, 
46,perempuan,3,robusta,suka aja,9, 
26,perempuan,2,lampung,karna rasa,6, 
36,perempuan,2,toraja,karna rasa,3, 
22,laki laki,3,aceh ,historis,7, 
38,laki laki,2,arabica,suka aja,7, 
21,laki laki,1,kintamani,historis,10, 
33,laki laki,1,robusta,menenangkan,8, 
33,laki laki,2,Arabica,suka aja,6, 
21,perempuan,2,arabica,historis,10, 
19,laki laki,1,kintamani,historis,10, 
22,laki laki,1,toraja,historis,2, 
43,laki laki,1,robusta,suka aja,7, 
38,perempuan,3,papua,menenangkan,1, 
21,laki laki,1,papua,menenangkan,8, 
30,perempuan,1,jawa,historis,7, 
47,laki laki,3,jawa,suka aja,2, 
21,perempuan,2,jawa,historis,10, 
32,laki laki,1,lampung,menenangkan,10, 
17,perempuan,2,lampung,suka aja,9, 
38,perempuan,3,aceh,karna rasa,2, 
44,perempuan,2,robusta,karna rasa,5, 
29,laki laki,3,lampung,historis,2, 
39,laki laki,3,toraja,suka aja,2, 
30,laki laki,3,aceh ,historis,4, 
25,laki laki,1,arabica,menenangkan,6, 
25,laki laki,1,kintamani,suka aja,8, 
20,perempuan,1,robusta,historis,4, 
32,laki laki,3,Arabica,historis,5, 
38,laki laki,2,arabica,historis,5, 
50,laki laki,2,kintamani,suka aja,8, 
39,perempuan,3,toraja,menenangkan,9, 
44,laki laki,3,robusta,menenangkan,5, 
17,perempuan,3,papua,historis,1, 
17,laki laki,2,papua,suka aja,1, 
35,perempuan,1,jawa,historis,9, 
39,laki laki,2,jawa,menenangkan,1, 
43,perempuan,3,jawa,suka aja,2, 
37,perempuan,2,lampung,karna rasa,6, 
41,perempuan,3,lampung,karna rasa,9, 
23,laki laki,2,aceh,historis,3, 
25,laki laki,2,robusta,suka aja,3, 
19,laki laki,2,lampung,historis,10, 
48,laki laki,3,toraja,menenangkan,6, 
48,laki laki,2,aceh ,suka aja,2, 
28,perempuan,1,arabica,historis,8, 
48,laki laki,3,kintamani,historis,5, 
24,laki laki,2,robusta,historis,10, 
29,laki laki,1,Arabica,suka aja,4, 
50,perempuan,1,arabica,menenangkan,1, 
31,laki laki,2,kintamani,menenangkan,1, 
49,perempuan,1,toraja,historis,10, 
40,laki laki,3,robusta,suka aja,6, 
36,perempuan,1,papua,historis,3, 
33,laki laki,2,papua,menenangkan,2, 
19,perempuan,1,jawa,suka aja,3, 
42,perempuan,1,jawa,karna rasa,6, 
29,perempuan,2,jawa,karna rasa,7, 
17,laki laki,3,lampung,historis,6, 
24,laki laki,1,lampung,suka aja,4, 
30,laki laki,1,aceh,historis,1, 
29,laki laki,1,robusta,menenangkan,6, 
23,laki laki,3,lampung,suka aja,2, 
41,perempuan,3,toraja,historis,10, 
31,laki laki,1,aceh ,historis,7, 
34,laki laki,3,arabica,historis,1, 
25,laki laki,3,kintamani,suka aja,8, 
38,perempuan,1,robusta,menenangkan,7, 
34,laki laki,3,Arabica,menenangkan,10, 
27,perempuan,2,arabica,historis,8, 
24,laki laki,2,kintamani,suka aja,10, 
22,perempuan,1,toraja,historis,3, 
41,laki laki,2,robusta,menenangkan,1, 
20,perempuan,1,papua,suka aja,10, 
35,perempuan,3,papua,karna rasa,6, 
47,perempuan,3,jawa,karna rasa,8, 
20,laki laki,3,jawa,historis,1, 
50,laki laki,2,jawa,suka aja,2, 
46,laki laki,1,lampung,historis,2, 
39,laki laki,2,lampung,menenangkan,9, 
46,laki laki,2,aceh,suka aja,3, 
23,perempuan,2,robusta,historis,9, 
43,laki laki,2,lampung,historis,6, 
23,laki laki,3,toraja,historis,9, 
36,laki laki,1,aceh ,suka aja,6, 
38,perempuan,3,arabica,menenangkan,3, 
25,laki laki,1,kintamani,menenangkan,6, 
17,perempuan,1,robusta,historis,9, 
46,laki laki,2,Arabica,suka aja,1, 
44,perempuan,2,arabica,historis,9, 
19,laki laki,2,kintamani,menenangkan,8, 
49,perempuan,2,toraja,suka aja,10, 
41,perempuan,1,robusta,karna rasa,3, 
22,perempuan,3,papua,karna rasa,5, 
47,laki laki,1,papua,historis,2, 
39,laki laki,3,jawa,suka aja,3, 
46,laki laki,1,jawa,historis,9, 
40,laki laki,3,jawa,menenangkan,9, 
25,laki laki,1,lampung,suka aja,10, 
35,perempuan,3,lampung,historis,5, 
40,laki laki,2,aceh,historis,7, 
26,laki laki,2,robusta,historis,1, 
37,laki laki,2,lampung,suka aja,1, 
42,perempuan,2,toraja,menenangkan,1, 
38,laki laki,1,aceh ,menenangkan,1, 
38,perempuan,1,arabica,historis,3, 
42,laki laki,2,kintamani,suka aja,6, 
38,perempuan,2,robusta,historis,4, 
19,laki laki,1,Arabica,menenangkan,6, 
45,perempuan,3,arabica,suka aja,1, 
44,perempuan,1,kintamani,karna rasa,8, 
40,perempuan,1,toraja,karna rasa,10, 
28,laki laki,3,robusta,historis,8, 
31,laki laki,1,papua,suka aja,2, 
38,laki laki,2,papua,historis,3, 
42,laki laki,2,jawa,menenangkan,8, 
24,laki laki,1,jawa,suka aja,6, 
38,perempuan,2,jawa,historis,1, 
20,laki laki,3,lampung,historis,8, 
30,laki laki,1,lampung,historis,8, 
45,laki laki,2,aceh,suka aja,9, 
44,perempuan,1,robusta,menenangkan,9, 
30,laki laki,3,lampung,menenangkan,6, 
38,perempuan,2,toraja,historis,9, 
33,laki laki,2,aceh ,suka aja,9, 
28,perempuan,2,arabica,historis,3, 
28,laki laki,2,kintamani,menenangkan,7, 
23,perempuan,2,robusta,suka aja,7, 
25,perempuan,3,Arabica,karna rasa,2, 
44,perempuan,3,arabica,karna rasa,5, 
34,laki laki,3,kintamani,historis,4, 
38,laki laki,2,toraja,suka aja,2, 
32,laki laki,1,robusta,historis,9, 
42,laki laki,1,papua,menenangkan,2, 
18,laki laki,1,papua,suka aja,6, 
32,perempuan,3,jawa,historis,8, 
33,laki laki,3,jawa,historis,3, 
39,laki laki,3,jawa,historis,4, 
44,laki laki,1,lampung,suka aja,4, 
28,perempuan,1,lampung,menenangkan,8, 
41,laki laki,1,aceh,menenangkan,8, 
23,perempuan,2,robusta,historis,1, 
26,laki laki,2,lampung,suka aja,10, 
36,perempuan,3,toraja,historis,6, 
23,laki laki,3,aceh ,menenangkan,7, 
41,perempuan,2,arabica,suka aja,4, 
22,perempuan,2,kintamani,karna rasa,4, 
35,perempuan,2,robusta,karna rasa,5, 
17,laki laki,3,Arabica,historis,4, 
47,laki laki,1,arabica,suka aja,8, 
17,laki laki,2,kintamani,historis,10, 
20,laki laki,3,toraja,menenangkan,2, 
19,laki laki,3,robusta,suka aja,7, 
42,perempuan,1,papua,historis,3, 
29,laki laki,2,papua,historis,8, 
37,laki laki,3,jawa,historis,8, 
19,laki laki,3,jawa,suka aja,4, 
30,perempuan,2,jawa,menenangkan,7, 
45,laki laki,1,lampung,menenangkan,5, 
50,perempuan,2,lampung,historis,8, 
29,laki laki,2,aceh,suka aja,2, 
35,perempuan,3,robusta,historis,2, 
23,laki laki,1,lampung,menenangkan,1, 
50,perempuan,1,toraja,suka aja,1, 
17,perempuan,3,aceh ,karna rasa,1, 
45,perempuan,2,arabica,karna rasa,2, 
37,laki laki,2,kintamani,historis,1, 
47,laki laki,3,robusta,suka aja,8, 
29,laki laki,3,Arabica,historis,5, 
19,laki laki,1,arabica,menenangkan,2, 
33,laki laki,3,kintamani,suka aja,2, 
30,perempuan,3,toraja,historis,1, 
23,laki laki,2,robusta,historis,1, 
44,laki laki,2,papua,historis,3, 
49,laki laki,1,papua,suka aja,4, 
34,perempuan,2,jawa,menenangkan,3, 
27,laki laki,1,jawa,menenangkan,1, 
20,perempuan,2,jawa,historis,6, 
36,laki laki,1,lampung,suka aja,7, 
29,perempuan,3,lampung,historis,5, 
35,laki laki,2,aceh,menenangkan,2, 
35,perempuan,3,robusta,suka aja,8, 
42,perempuan,1,lampung,karna rasa,4, 
49,perempuan,2,toraja,karna rasa,1, 
39,laki laki,1,aceh ,historis,3, 
34,laki laki,3,arabica,suka aja,4, 
37,laki laki,3,kintamani,historis,5, 
34,laki laki,3,robusta,menenangkan,2, 
17,laki laki,1,Arabica,suka aja,1, 
19,perempuan,3,arabica,historis,2, 
36,laki laki,2,kintamani,historis,4, 
33,laki laki,1,toraja,historis,9, 
21,laki laki,3,robusta,suka aja,8, 
50,perempuan,3,papua,menenangkan,7, 
31,laki laki,3,papua,menenangkan,4, 
40,perempuan,2,jawa,historis,4, 
43,laki laki,3,jawa,suka aja,8, 
46,perempuan,3,jawa,historis,9, 
43,laki laki,3,lampung,menenangkan,2, 
22,perempuan,3,lampung,suka aja,7, 
17,perempuan,2,aceh,karna rasa,3, 
40,perempuan,1,robusta,karna rasa,1, 
24,laki laki,2,lampung,historis,10, 
40,laki laki,2,toraja,suka aja,8, 
43,laki laki,1,aceh ,historis,10, 
41,laki laki,1,arabica,menenangkan,10, 
17,laki laki,3,kintamani,suka aja,6, 
49,perempuan,3,robusta,historis,7, 
43,laki laki,1,Arabica,historis,10, 
28,laki laki,2,arabica,historis,8, 
20,laki laki,3,kintamani,suka aja,7, 
25,perempuan,1,toraja,menenangkan,3, 
29,laki laki,2,robusta,menenangkan,10, 
38,perempuan,1,papua,historis,5, 
39,laki laki,3,papua,suka aja,6, 
44,perempuan,2,jawa,historis,4, 
23,laki laki,3,jawa,menenangkan,9, 
27,perempuan,3,jawa,suka aja,1, 
37,perempuan,2,lampung,karna rasa,7, 
46,perempuan,1,lampung,karna rasa,5, 
31,laki laki,1,aceh,historis,9, 
25,laki laki,3,robusta,suka aja,9, 
30,laki laki,1,lampung,historis,2, 
21,laki laki,2,toraja,menenangkan,4, 
38,laki laki,3,aceh ,suka aja,6, 
30,perempuan,2,arabica,historis,9, 
31,laki laki,3,kintamani,historis,9, 
17,laki laki,2,robusta,historis,10, 
39,laki laki,1,Arabica,suka aja,7, 
43,perempuan,1,arabica,menenangkan,9, 
50,laki laki,3,kintamani,menenangkan,6, 
19,perempuan,1,toraja,historis,1, 
46,laki laki,1,robusta,suka aja,9, 
37,perempuan,1,papua,historis,5, 
41,laki laki,2,papua,menenangkan,4, 
42,perempuan,1,jawa,suka aja,4, 
22,perempuan,1,jawa,karna rasa,4, 
18,perempuan,3,jawa,karna rasa,10, 
25,laki laki,1,lampung,historis,1, 
32,laki laki,3,lampung,suka aja,7, 
22,laki laki,1,aceh,historis,6, 
25,laki laki,1,robusta,menenangkan,3, 
41,laki laki,1,lampung,suka aja,1, 
23,perempuan,3,toraja,historis,9, 
41,laki laki,3,aceh ,historis,5, 
50,laki laki,1,arabica,historis,3, 
46,laki laki,3,kintamani,suka aja,6, 
26,perempuan,1,robusta,menenangkan,8, 
29,laki laki,1,Arabica,menenangkan,2, 
31,perempuan,2,arabica,historis,5, 
21,laki laki,2,kintamani,suka aja,5, 
49,perempuan,2,toraja,historis,6, 
28,laki laki,1,robusta,menenangkan,5, 
49,perempuan,2,papua,suka aja,3, 
35,perempuan,1,papua,karna rasa,10, 
23,perempuan,3,jawa,karna rasa,5, 
48,laki laki,3,jawa,historis,4, 
40,laki laki,1,jawa,suka aja,2, 
47,laki laki,1,lampung,historis,2, 
24,laki laki,2,lampung,menenangkan,8, 
18,laki laki,3,aceh,suka aja,6, 
33,perempuan,3,robusta,historis,2, 
30,laki laki,1,lampung,historis,10, 
31,laki laki,3,toraja,historis,10, 
39,laki laki,2,aceh ,suka aja,6, 
41,perempuan,3,arabica,menenangkan,8, 
30,laki laki,3,kintamani,menenangkan,10, 
49,perempuan,2,robusta,historis,7, 
44,laki laki,2,Arabica,suka aja,9, 
29,perempuan,2,arabica,historis,2, 
48,laki laki,1,kintamani,menenangkan,3, 
18,perempuan,2,toraja,suka aja,5, 
36,perempuan,2,robusta,karna rasa,7, 
17,perempuan,2,papua,karna rasa,10, 
20,laki laki,3,papua,historis,8, 
50,laki laki,1,jawa,suka aja,1, 
34,laki laki,2,jawa,historis,1, 
17,laki laki,3,jawa,menenangkan,8, 
44,laki laki,2,lampung,suka aja,3, 
38,perempuan,3,lampung,historis,9, 
25,laki laki,2,aceh,historis,4, 
32,laki laki,1,robusta,historis,8, 
49,laki laki,1,lampung,suka aja,2, 
33,perempuan,1,toraja,menenangkan,6, 
31,laki laki,3,aceh ,menenangkan,9, 
28,perempuan,2,arabica,historis,9, 
39,laki laki,2,kintamani,suka aja,2, 
44,perempuan,2,robusta,historis,1, 
31,laki laki,1,Arabica,menenangkan,2, 
44,perempuan,1,arabica,suka aja,2, 
19,perempuan,2,kintamani,karna rasa,6, 
50,perempuan,3,toraja,karna rasa,8, 
48,laki laki,3,robusta,historis,7, 
23,laki laki,2,papua,suka aja,9, 
28,laki laki,2,papua,historis,6, 
38,laki laki,2,jawa,menenangkan,1, 
36,laki laki,2,jawa,suka aja,3, 
29,perempuan,2,jawa,historis,3, 
42,laki laki,3,lampung,historis,2, 
18,laki laki,1,lampung,historis,4, 
40,laki laki,1,aceh,suka aja,4, 
48,perempuan,3,robusta,menenangkan,7, 
27,laki laki,2,lampung,menenangkan,6, 
26,perempuan,2,toraja,historis,6, 
17,laki laki,1,aceh ,suka aja,10, 
32,perempuan,3,arabica,historis,1, 
20,laki laki,2,kintamani,menenangkan,10, 
24,perempuan,3,robusta,suka aja,5, 
19,perempuan,1,Arabica,karna rasa,9, 
32,perempuan,2,arabica,karna rasa,1, 
18,laki laki,3,kintamani,historis,7, 
30,laki laki,3,toraja,suka aja,7, 
19,laki laki,2,robusta,historis,6, 
36,laki laki,2,papua,menenangkan,3, 
41,laki laki,2,papua,suka aja,1, 
18,perempuan,1,jawa,historis,1, 
34,laki laki,1,jawa,historis,3, 
25,laki laki,1,jawa,historis,6, 
44,laki laki,3,lampung,suka aja,8, 
44,perempuan,3,lampung,menenangkan,9, 
26,laki laki,1,aceh,menenangkan,7, 
18,perempuan,1,robusta,historis,4, 
43,laki laki,3,lampung,suka aja,3, 
24,perempuan,3,toraja,historis,8, 
49,laki laki,1,aceh ,menenangkan,7, 
34,perempuan,1,arabica,suka aja,10, 
28,perempuan,2,kintamani,karna rasa,1, 
41,perempuan,3,robusta,karna rasa,9, 
30,laki laki,2,Arabica,historis,9, 
22,laki laki,2,arabica,suka aja,8, 
30,laki laki,1,kintamani,historis,2, 
39,laki laki,2,toraja,menenangkan,4, 
44,laki laki,3,robusta,suka aja,3, 
31,perempuan,1,papua,historis,5, 
38,laki laki,3,papua,historis,4, 
44,laki laki,1,jawa,historis,8, 
30,laki laki,1,jawa,suka aja,8, 
25,perempuan,1,jawa,menenangkan,5, 
18,laki laki,3,lampung,menenangkan,5, 
50,perempuan,1,lampung,historis,3, 
31,laki laki,1,aceh,suka aja,1, 
27,perempuan,1,robusta,historis,1, 
20,laki laki,2,lampung,menenangkan,2, 
34,perempuan,1,toraja,suka aja,9, 
39,perempuan,1,aceh ,karna rasa,3, 
43,perempuan,1,arabica,karna rasa,1, 
48,laki laki,2,kintamani,historis,7, 
49,laki laki,2,robusta,suka aja,9, 
46,laki laki,1,Arabica,historis,4, 
29,laki laki,3,arabica,menenangkan,9, 
43,laki laki,3,kintamani,suka aja,1, 
45,perempuan,3,toraja,historis,2, 
44,laki laki,1,robusta,historis,5, 
46,laki laki,3,papua,historis,1, 
29,laki laki,2,papua,suka aja,6, 
38,perempuan,3,jawa,menenangkan,4, 
24,laki laki,1,jawa,menenangkan,2, 
23,perempuan,3,jawa,historis,4, 
42,laki laki,1,lampung,suka aja,3, 
40,perempuan,3,lampung,historis,1, 
28,laki laki,1,aceh,menenangkan,4, 
19,perempuan,1,robusta,suka aja,5, 
50,perempuan,2,lampung,karna rasa,5, 
41,perempuan,3,toraja,karna rasa,10, 
23,laki laki,2,aceh ,historis,10, 
37,laki laki,1,arabica,suka aja,7, 
41,laki laki,2,kintamani,historis,3, 
29,laki laki,3,robusta,menenangkan,8, 
27,laki laki,1,Arabica,suka aja,10, 
38,perempuan,1,arabica,historis,8, 
22,laki laki,3,kintamani,historis,6, 
49,laki laki,1,toraja,historis,6, 
19,laki laki,2,robusta,suka aja,7, 
33,perempuan,1,papua,menenangkan,1, 
33,laki laki,3,papua,menenangkan,5, 
47,perempuan,1,jawa,historis,7, 
33,laki laki,2,jawa,suka aja,1, 
26,perempuan,3,jawa,historis,4, 
17,laki laki,2,lampung,menenangkan,10, 
34,perempuan,2,lampung,suka aja,6, 
19,perempuan,1,aceh,karna rasa,6, 
26,perempuan,2,robusta,karna rasa,5, 
46,laki laki,1,lampung,historis,5, 
21,laki laki,1,toraja,suka aja,5, 
39,laki laki,3,aceh ,historis,8, 
19,laki laki,1,arabica,menenangkan,10, 
46,laki laki,2,kintamani,suka aja,2, 
36,perempuan,2,robusta,historis,3, 
23,laki laki,1,Arabica,historis,4, 
50,laki laki,3,arabica,historis,9, 
38,laki laki,2,kintamani,suka aja,1, 
33,perempuan,1,toraja,menenangkan,3, 
36,laki laki,1,robusta,menenangkan,4, 
31,perempuan,2,papua,historis,9, 
17,laki laki,3,papua,suka aja,1, 
19,perempuan,2,jawa,historis,2, 
35,laki laki,3,jawa,menenangkan,5, 
41,perempuan,2,jawa,suka aja,3, 
27,perempuan,3,lampung,karna rasa,3, 
31,perempuan,1,lampung,karna rasa,2, 
46,laki laki,1,aceh,historis,6, 
31,laki laki,3,robusta,suka aja,1, 
34,laki laki,3,lampung,historis,4, 
32,laki laki,3,toraja,menenangkan,1, 
19,laki laki,2,aceh ,suka aja,9, 
46,perempuan,1,arabica,historis,5, 
23,laki laki,1,kintamani,historis,1, 
22,laki laki,3,robusta,historis,1, 
44,laki laki,3,Arabica,suka aja,9, 
42,perempuan,3,arabica,menenangkan,10, 
29,laki laki,3,kintamani,menenangkan,6, 
45,perempuan,2,toraja,historis,8, 
40,laki laki,1,robusta,suka aja,10, 
26,perempuan,2,papua,historis,3, 
43,laki laki,3,papua,menenangkan,6, 
35,perempuan,1,jawa,suka aja,3, 
36,perempuan,2,jawa,karna rasa,7, 
21,perempuan,3,jawa,karna rasa,10, 
17,laki laki,2,lampung,historis,2, 
18,laki laki,3,lampung,suka aja,4, 
26,laki laki,3,aceh,historis,8, 
39,laki laki,3,robusta,menenangkan,5, 
42,laki laki,1,lampung,suka aja,8, 
25,perempuan,2,toraja,historis,1, 
47,laki laki,3,aceh ,historis,2, 
34,laki laki,2,arabica,historis,6, 
34,laki laki,1,kintamani,suka aja,7, 
19,perempuan,2,robusta,menenangkan,4, 
43,laki laki,1,Arabica,menenangkan,1, 
24,perempuan,2,arabica,historis,10, 
30,laki laki,3,kintamani,suka aja,3, 
42,perempuan,2,toraja,historis,6, 
39,laki laki,1,robusta,menenangkan,10, 
49,perempuan,2,papua,suka aja,3, 
23,perempuan,1,papua,karna rasa,3, 
26,perempuan,1,jawa,karna rasa,5, 
17,laki laki,2,jawa,historis,3, 
50,laki laki,1,jawa,suka aja,2, 
32,laki laki,2,lampung,historis,7, 
50,laki laki,3,lampung,menenangkan,1, 
42,laki laki,3,aceh,suka aja,9, 
46,perempuan,2,robusta,historis,8, 
22,laki laki,1,lampung,historis,6, 
50,laki laki,2,toraja,historis,5, 
24,laki laki,1,aceh ,suka aja,7, 
23,perempuan,1,arabica,menenangkan,2, 
49,laki laki,1,kintamani,menenangkan,7, 
38,perempuan,3,robusta,historis,4, 
46,laki laki,3,Arabica,suka aja,3, 
25,perempuan,3,arabica,historis,9, 
20,laki laki,2,kintamani,menenangkan,6, 
35,perempuan,2,toraja,suka aja,5, 
48,perempuan,1,robusta,karna rasa,4, 
20,perempuan,1,papua,karna rasa,8, 
41,laki laki,1,papua,historis,7, 
36,laki laki,1,jawa,suka aja,3, 
19,laki laki,3,jawa,historis,9, 
44,laki laki,1,jawa,menenangkan,1, 
42,laki laki,3,lampung,suka aja,10, 
36,perempuan,2,lampung,historis,2, 
41,laki laki,1,aceh,historis,1, 
42,laki laki,1,robusta,historis,3, 
34,laki laki,1,lampung,suka aja,3, 
49,perempuan,3,toraja,menenangkan,3, 
35,laki laki,3,aceh ,menenangkan,1, 
50,perempuan,1,arabica,historis,9, 
22,laki laki,3,kintamani,suka aja,5, 
41,perempuan,1,robusta,historis,6, 
50,laki laki,1,Arabica,menenangkan,5, 
36,perempuan,1,arabica,suka aja,5, 
25,perempuan,1,kintamani,karna rasa,7, 
20,perempuan,1,toraja,karna rasa,9, 
39,laki laki,1,robusta,historis,6, 
40,laki laki,1,papua,suka aja,8, 
29,laki laki,2,papua,historis,4, 
47,laki laki,1,jawa,menenangkan,6, 
37,laki laki,3,jawa,suka aja,5, 
37,perempuan,2,jawa,historis,1, 
35,laki laki,3,lampung,historis,1, 
18,laki laki,2,lampung,historis,2, 
42,laki laki,2,aceh,suka aja,7, 
22,perempuan,2,robusta,menenangkan,5, 
31,laki laki,2,lampung,menenangkan,8, 
32,perempuan,3,toraja,historis,9, 
19,laki laki,3,aceh ,suka aja,10, 
30,perempuan,3,arabica,historis,2, 
39,laki laki,2,kintamani,menenangkan,9, 
34,perempuan,1,robusta,suka aja,6, 
34,perempuan,1,Arabica,karna rasa,4, 
17,perempuan,2,arabica,karna rasa,8, 
20,laki laki,1,kintamani,historis,6, 
47,laki laki,2,toraja,suka aja,10, 
18,laki laki,3,robusta,historis,5, 
